,Unnamed: 0,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
0,0,2.0000000000000013,0.0953541790959582,0.306895721943296,0,-2.035259709505957,-0.4328368775859348,0.0540997951662111,0,-0.3671833720528107,0.8064889259229311,-0.3463457336392572,0,-0.9290523193995576,0.0402046246300301,0.3703442805222345,0,1.122510537261094,-0.4400261135901406,-0.0522712926281847,0,-1.0850124498052285,1.2464460613849822,0.1110750679984617,0,-2.0274241247717746,0.1464945412065221,-0.1574786515170401,0,1.7087567123760092,0.7053645384618682,0.2130955939765834,0,0.1309620238709387,-1.3816401338820608,-0.1579842823473445,0,2.082961436115761,0.1361892553630293,-0.2279666825402911,0,-2.892816591587291,0.4648892755913628,0.0292347689496062,0,1.259033173779165,-1.277849110428135,-0.0691824279960614,0,2.8415139241559317
1,1,2.0040000000000013,0.0965632425993315,0.3007028821602532,0,-2.044556215246093,-0.4326309957824488,0.0505374699726042,0,-0.3588860284516659,0.8051573855878316,-0.328322379650561,0,-0.9247468579307948,0.04165806495308,0.3609985493592809,0,1.1153695046585228,-0.440241351644706,-0.0543540462637022,0,-1.0856535357033077,1.246863342318879,0.1021170081485681,0,-2.0303057127562982,0.1458443319651113,-0.1641546598649526,0,1.7064961805541634,0.7061955520777808,0.2060061404257732,0,0.1245244854780271,-1.3822692757413666,-0.1569901640595523,0,2.0791625626073325,0.1352622760812205,-0.2329160383179948,0,-2.8922831938651683,0.4650333263226943,0.0383062225220261,0,1.2593862166359628,-1.2781425754613465,-0.0748117039636246,0,2.8423329477104944
2,2,2.0080000000000013,0.0977439712042571,0.2933381989230904,0,-2.052465837589714,-0.4324416663901007,0.0462330272467108,0,-0.3510829142483178,0.803902780543045,-0.3087147474049021,0,-0.9201698247854404,0.0430700786135147,0.350328657322797,0,1.108683275492647,-0.4404660068859324,-0.0567938539785903,0,-1.0876446199335523,1.2472465377162114,0.0937384334297892,0,-2.0338835698253246,0.1451708007893219,-0.1697261218099008,0,1.705042579518102,0.7069966910557139,0.19841399676922,0,0.1179761998461377,-1.3828912924433936,-0.1549514241787315,0,2.075434618710724,0.134319290684611,-0.2366260429773502,0,-2.890379722765381,0.4652152670482181,0.0479070576273842,0,1.2599369553848696,-1.278460715550443,-0.0811615803921572,0,2.8431948715721647
3,3,2.0120000000000013,0.0988922259800934,0.2849830428111288,0,-2.0595340195195497,-0.4322711411751658,0.0414191955485377,0,-0.3442071830010865,0.8027304452036473,-0.2878534320387044,0,-0.915849449928162,0.0444361433654968,0.3385887365022523,0,1.102608921104095,-0.4407014489891946,-0.059571117379523,0,-1.0900676773435527,1.2475978735130122,0.0859081581865975,0,-2.037570189765847,0.1444777616568856,-0.1743913613610417,0,1.7044685106938935,0.7077662148792075,0.1904098140899198,0,0.1104299215507438,-1.3835022792856886,-0.1519612967784888,0,2.071161652060943,0.1333646139526754,-0.2393080236428875,0,-2.8879148896895352,0.4654370829520753,0.0579935714787858,0,1.2614068795714557,-1.2788064483893236,-0.0882420135900112,0,2.844584740163869
4,4,2.0160000000000013,0.1000046054246549,0.2758221774789637,0,-2.0670768062850438,-0.4321208815895681,0.0362831334170607,0,-0.3388782422496256,0.8016444399125604,-0.2660524749206471,0,-0.9123553542180816,0.0457527053408848,0.3260169156833579,0,1.0950978264527296,-0.440948900628118,-0.0626438344003219,0,-1.091584219943306,1.2479194427150575,0.0785922355337799,0,-2.0404787611880963,0.1437682945750542,-0.1783292563487402,0,1.7033793598542872,0.7085026911048953,0.1820659286616968,0,0.1042666554642692,-1.3840987823930362,-0.1481380136790342,0,2.067132679989199,0.1324017215066944,-0.2411709028911597,0,-2.88700894830854,0.4657005564642807,0.0685124807749837,0,1.2617019027617058,-1.27918262184036,-0.0960267145391426,0,2.845812493969349
5,5,2.0200000000000014,0.1010783409228418,0.2660054754684449,0,-2.074242181078913,-0.4319917599730035,0.0309602398452551,0,-0.3335214609549678,0.800647665577522,-0.2435936362678344,0,-0.9088154466790136,0.0470169756241517,0.3127902088685337,0,1.0883787977787465,-0.4412093568931259,-0.0659508849965766,0,-1.09265367876999,1.248213173922012,0.071747344276916,0,-2.043202572172463,0.1430447728349773,-0.1817152919660587,0,1.7019360043196363,0.7092050998912728,0.1734938847478031,0,0.0981192459755087,-1.3846778333633996,-0.1436036032835914,0,2.0631353384117164,0.1314332544763605,-0.2424225422332579,0,-2.885166742746815,0.4660071770586262,0.0793850457967997,0,1.262718072585744,-1.2795919539312517,-0.1044815491781169,0,2.847339464947992
6,6,2.0240000000000014,0.1021113019857994,0.2556948415944672,0,-2.080242745808301,-0.4318841461168164,0.0255730365194254,0,-0.3270379496248267,0.7997421118235529,-0.2206873778820403,0,-0.904854197078286,0.0482269188193834,0.2990997269940765,0,1.0815426402399675,-0.4414835881214203,-0.0694372894776585,0,-1.0936750008903025,1.248480784023355,0.0653174950993243,0,-2.045794587867088,0.1423088854066407,-0.1847192735577358,0,1.7011411352308932,0.7098726761841067,0.1647427143287547,0,0.0928750533461485,-1.3852369245191545,-0.1384704383145627,0,2.0595979332908865,0.1304611646229152,-0.2432250205265626,0,-2.8836794577682032,0.4663582046421354,0.0905597258094099,0,1.263821162079879,-1.2800369405895893,-0.1135441818044092,0,2.848907109134286
7,7,2.0280000000000014,0.1031020453488647,0.2450645561584462,0,-2.086881652849296,-0.4317979271308526,0.0202413797388327,0,-0.3207547661946174,0.7989290299197688,-0.1975099072899145,0,-0.9008147082111,0.0493811624464645,0.2851035263127629,0,1.0770592588363208,-0.4417721676094275,-0.0730554821074948,0,-1.0959218815722511,1.2487237632335997,0.0592460020815732,0,-2.04924060316839,0.1415617478760965,-0.1874766606411704,0,1.6997945902019571,0.7105048894929159,0.1558733555619455,0,0.0874948505107191,-1.385774013886169,-0.1328558593701896,0,2.0564567682196984,0.1294867231238885,-0.2437504327924388,0,-2.880738460481078,0.4667546380798869,0.1019672434379129,0,1.2634065021334104,-1.2805197925674023,-0.1231405224883614,0,2.849444060061902
8,8,2.0320000000000014,0.1040495083601648,0.2341862349885425,0,-2.0921610738559373,-0.4317327735625711,0.0150003127592669,0,-0.3141561203654292,0.7982091229347942,-0.1741861554677957,0,-0.8972083772597498,0.0504789142400635,0.2709422036458139,0,1.070598143199747,-0.442075546994867,-0.0767800197814033,0,-1.0968743236426532,1.2489433702279549,0.0534748781722788,0,-2.051485455565225,0.1408040016493899,-0.1901000850712675,0,1.6987032121058177,0.7111013082272485,0.1468998549165869,0,0.0826504215041157,-1.3862874149236295,-0.1268393271664814,0,2.05300923361051,0.1285107607084183,-0.2440900128853262,0,-2.879516360997981,0.4671971780442592,0.1135315600215205,0,1.263722548862368,-1.2810424414749213,-0.1332023178924761,0,2.850847929554626
9,9,2.0360000000000014,0.1049532295136469,0.2232327922177473,0,-2.0975421428674057,-0.431688003498303,0.0099530553595198,0,-0.3096701591277246,0.7975824770809111,-0.1508788682785983,0,-0.8943630391532807,0.0515197999234438,0.2567097977560588,0,1.0660691375500893,-0.4423939626274143,-0.0805490913655128,0,-1.0984840823360391,1.249140661700988,0.0479558699177242,0,-2.054533109629272,0.1400358653909032,-0.1926937681345793,0,1.69734246904344,0.711661677918542,0.1378746714374607,0,0.076348868114883,-1.3867759111842684,-0.1205500263969881,0,2.049611527724833,0.1275335437980859,-0.2443995909161159,0,-2.8771098566512,0.4676862474068811,0.1251852215035886,0,1.2626856453884088,-1.2816064299791945,-0.1436233321965718,0,2.851053832920095
10,10,2.0400000000000014,0.105812968271802,0.2122245512380891,0,-2.1040012505836594,-0.4316628998400755,0.0050811245794049,0,-0.3039466713010285,0.7970487409546992,-0.1276813338392914,0,-0.8916015967562748,0.052503765572753,0.2424814566614464,0,1.0617807375825965,-0.4427274936781519,-0.0843299629384668,0,-1.0991977123211458,1.2493164504021217,0.0426243375388819,0,-2.056392808249858,0.1392572816294624,-0.1953151535676148,0,1.6961025101710612,0.7121856756749138,0.1287605767317511,0,0.0709649095355553,-1.3872385437566075,-0.1140315270834849,0,2.045885042777812,0.12655507948265,-0.2447163595131289,0,-2.876329388855794,0.4682220650396511,0.1368822631083914,0,1.2624951936037387,-1.2822130313050109,-0.154348763215869,0,2.852410830514511
11,11,2.0440000000000014,0.1066287718461998,0.2012487054770485,0,-2.109371132722996,-0.4316565730086706,0.000445028412133,0,-0.2987239781668405,0.7966072575734988,-0.1046640368371196,0,-0.8889637258283528,0.0534311218234664,0.2283531451920009,0,1.0568108772500031,-0.4430761173241841,-0.0880994985239037,0,-1.0991528403236084,1.2494714349035771,0.0374632195251975,0,-2.0583455753229485,0.1384679444457065,-0.1980282796289598,0,1.6937507904228,0.7126731567582341,0.1196253625319642,0,0.0667928715294425,-1.3876747420386115,-0.1073976872535702,0,2.0432931902293654,0.1255750152627372,-0.2451459196248617,0,-2.8749169602048323,0.4688046059104541,0.1485572557946287,0,1.2608243625044335,-1.2828631144883536,-0.1652630264559199,0,2.8526015643686526
